Style,Standard,,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,,
Count,11260,,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709740595,,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.438305,,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds,
87,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438391,-18.9381562
88,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438392,37.8763134
89,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438393,-37.8763134
90,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438394,37.8763134
91,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438395,0
92,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438396,0
93,0.003452197,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438397,0
94,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438398,0
95,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438399,-18.9381572
96,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.4384,-18.9381562
97,-0.006747165,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438401,37.8763134
98,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438402,-18.9381572
99,-0.00581995,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438403,56.8144715
100,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438404,0
101,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,T,4W,F,F,3/6/2024,15:56:35,0.438405,-18.9381608
